team_abbreviation,arena,city,lat,lon,timezone
ATL,State Farm Arena,Atlanta,33.7573,-84.3963,America/New_York
BOS,TD Garden,Boston,42.3662,-71.0621,America/New_York
BKN,Barclays Center,Brooklyn,40.6826,-73.9754,America/New_York
CHA,Spectrum Center,Charlotte,35.2251,-80.8392,America/New_York
CHI,United Center,Chicago,41.8807,-87.6742,America/Chicago
CLE,Rocket Mortgage FieldHouse,Cleveland,41.4965,-81.6882,America/New_York
DAL,American Airlines Center,Dallas,32.7905,-96.8103,America/Chicago
DEN,Ball Arena,Denver,39.7487,-105.0077,America/Denver
DET,Little Caesars Arena,Detroit,42.3410,-83.0550,America/New_York
GSW,Chase Center,San Francisco,37.7680,-122.3877,America/Los_Angeles
HOU,Toyota Center,Houston,29.7508,-95.3621,America/Chicago
IND,Gainbridge Fieldhouse,Indianapolis,39.7640,-86.1555,America/Indiana/Indianapolis
LAC,Intuit Dome,Inglewood,33.9463,-118.3413,America/Los_Angeles
LAL,Crypto.com Arena,Los Angeles,34.0430,-118.2673,America/Los_Angeles
MEM,FedExForum,Memphis,35.1382,-90.0505,America/Chicago
MIA,Kaseya Center,Miami,25.7814,-80.1870,America/New_York
MIL,Fiserv Forum,Milwaukee,43.0451,-87.9172,America/Chicago
MIN,Target Center,Minneapolis,44.9795,-93.2761,America/Chicago
NOP,Smoothie King Center,New Orleans,29.9490,-90.0821,America/Chicago
NYK,Madison Square Garden,New York,40.7505,-73.9934,America/New_York
OKC,Paycom Center,Oklahoma City,35.4634,-97.5151,America/Chicago
ORL,Kia Center,Orlando,28.5392,-81.3839,America/New_York
PHI,Wells Fargo Center,Philadelphia,39.9012,-75.1720,America/New_York
PHX,Footprint Center,Phoenix,33.4457,-112.0712,America/Phoenix
POR,Moda Center,Portland,45.5316,-122.6668,America/Los_Angeles
SAC,Golden 1 Center,Sacramento,38.5802,-121.4997,America/Los_Angeles
SAS,Frost Bank Center,San Antonio,29.4269,-98.4375,America/Chicago
TOR,Scotiabank Arena,Toronto,43.6435,-79.3791,America/Toronto
UTA,Delta Center,Salt Lake City,40.7683,-111.9011,America/Denver
WAS,Capital One Arena,Washington,38.8981,-77.0209,America/New_York
